,試合日,チーム名,スコア,攻撃,パス,クロス,ドリブル,シュート,ゴール,奪取,守備,セーブ,攻撃回数,シュート,チャンス構築率,ゴール,成功率,被攻撃回数,被シュート,被チャンス構築率,被ゴール,被成功率,ゴール期待値,ゴール,被ゴール期待値,被ゴール,総移動距離,相手との移動距離差,スプリント数,相手とのスプリント数差,ゴール,シュート,枠内シュート,パス,クロス,直接ＦＫ,間接ＦＫ,ＣＫ,スローイン,ドリブル,タックル,クリア,インターセプト,オフサイド,警告,退場,３０ｍライン進入,ペナルティエリア進入
away,2021-5-22-16:00,神戸,0,14.45,12.14,1.47,0.85,5.79,3.84,99.24,14.15,0.44,118.7,10.9,9.2%,1.5,13.9%,118.3,11.6,9.8%,1.0,8.2%,1.324,1.5,1.1740000000000002,1.0,117.529km,0.886km,183.7,19.7,1.5,10.9,3.6,565.0,11.1,10.3,1.4,3.6,23.2,9.7,19.4,23.4,2.7,1.4,0.6,0.0,32.9,9.2
home,2021-4-11-16:00,浦和,1,15.64,13.14,1.38,1.12,5.70,2.92,91.95,13.38,0.38,110.6,9.9,9.0%,1.2,11.8%,107.6,13.0,12.0%,1.1,8.4%,1.231,1.2,1.198,1.1,114.891km,-1.786km,164.5,-8.7,1.2,9.9,3.7,581.6,13.2,10.2,0.7,4.7,19.2,9.4,18.8,19.0,1.5,1.2,0.8,0.0,40.2,10.8
away,2021-4-11-16:00,徳島,0,13.5,11.6,0.85,1.05,4.88,2.08,90.96,12.73,0.27,113.7,10.0,8.8%,0.8,7.8%,114.1,11.0,9.6%,1.1,10.3%,0.948,0.8,1.1840000000000002,1.1,116.381km,-0.315km,162.8,-12.4,0.8,10.0,2.6,530.3,9.9,11.0,1.1,4.0,21.5,10.1,17.6,18.4,1.7,1.3,0.9,0.0,36.8,8.0
home,2021-6-27-19:00,浦和,2,15.64,13.14,1.38,1.12,5.70,2.92,91.95,13.38,0.38,110.6,9.9,9.0%,1.2,11.8%,107.6,13.0,12.0%,1.1,8.4%,1.231,1.2,1.198,1.1,114.891km,-1.786km,164.5,-8.7,1.2,9.9,3.7,581.6,13.2,10.2,0.7,4.7,19.2,9.4,18.8,19.0,1.5,1.2,0.8,0.0,40.2,10.8
away,2021-6-27-19:00,福岡,0,10.94,8.53,1.52,0.88,4.95,2.51,102.02,16.09,0.59,119.7,10.3,8.6%,1.0,9.3%,123.0,11.3,9.2%,1.2,10.3%,1.085,1.0,1.26,1.2,111.502km,-1.561km,176.1,9.9,1.0,10.3,2.7,350.0,13.8,10.5,1.8,4.5,22.8,7.9,21.6,28.0,1.4,1.0,1.3,0.1,28.1,8.8
home,2021-5-29-19:00,柏,1,12.85,9.76,1.92,1.17,6.93,2.63,98.89,13.04,0.40,124.4,12.5,10.1%,1.0,8.3%,127.0,10.9,8.6%,1.4,12.7%,1.391,1.0,1.144,1.4,113.378km,-2.598km,177.5,-8.0,1.0,12.5,3.6,412.0,15.8,11.3,2.1,5.2,25.7,10.1,21.0,22.6,1.7,1.5,0.9,0.0,34.3,9.9
away,2021-5-29-19:00,札幌,2,17.92,14.05,1.81,2.06,7.6,3.51,106.72,11.88,0.4,119.1,14.6,12.3%,1.3,8.7%,120.4,10.8,9.0%,1.3,12.2%,1.5319999999999998,1.3,1.383,1.3,113.441km,-1.966km,170.5,-12.0,1.3,14.6,4.2,534.1,15.5,9.3,0.6,6.0,21.3,15.4,19.4,16.6,1.5,2.0,1.0,0.1,43.0,15.0
home,2021-7-11-19:00,柏,2,12.85,9.76,1.92,1.17,6.93,2.63,98.89,13.04,0.40,124.4,12.5,10.1%,1.0,8.3%,127.0,10.9,8.6%,1.4,12.7%,1.391,1.0,1.144,1.4,113.378km,-2.598km,177.5,-8.0,1.0,12.5,3.6,412.0,15.8,11.3,2.1,5.2,25.7,10.1,21.0,22.6,1.7,1.5,0.9,0.0,34.3,9.9
away,2021-7-11-19:00,鹿島,1,15.79,12.9,1.77,1.13,7.78,4.53,100.66,12.09,0.35,128.1,14.5,11.3%,1.6,11.1%,126.9,8.8,6.9%,1.0,11.4%,1.501,1.6,0.9490000000000001,1.0,117.214km,1.814km,194.3,9.6,1.6,14.5,5.0,468.7,15.7,9.9,2.3,6.1,28.4,9.7,18.1,17.8,1.4,1.6,1.4,0.1,43.2,13.2
home,2021-6-23-19:00,柏,0,12.85,9.76,1.92,1.17,6.93,2.63,98.89,13.04,0.40,124.4,12.5,10.1%,1.0,8.3%,127.0,10.9,8.6%,1.4,12.7%,1.391,1.0,1.144,1.4,113.378km,-2.598km,177.5,-8.0,1.0,12.5,3.6,412.0,15.8,11.3,2.1,5.2,25.7,10.1,21.0,22.6,1.7,1.5,0.9,0.0,34.3,9.9
away,2021-6-23-19:00,浦和,2,15.64,13.14,1.38,1.12,5.7,2.92,91.95,13.38,0.38,110.6,9.9,9.0%,1.2,11.8%,107.6,13.0,12.0%,1.1,8.4%,1.2309999999999999,1.2,1.198,1.1,114.891km,-1.786km,164.5,-8.7,1.2,9.9,3.7,581.6,13.2,10.2,0.7,4.7,19.2,9.4,18.8,19.0,1.5,1.2,0.8,0.0,40.2,10.8
home,2021-5-15-16:00,柏,0,12.85,9.76,1.92,1.17,6.93,2.63,98.89,13.04,0.40,124.4,12.5,10.1%,1.0,8.3%,127.0,10.9,8.6%,1.4,12.7%,1.391,1.0,1.144,1.4,113.378km,-2.598km,177.5,-8.0,1.0,12.5,3.6,412.0,15.8,11.3,2.1,5.2,25.7,10.1,21.0,22.6,1.7,1.5,0.9,0.0,34.3,9.9
away,2021-5-15-16:00,FC東京,4,13.58,11.04,1.44,1.1,6.11,3.8,90.11,14.05,0.34,119.3,11.0,9.3%,1.3,12.2%,118.6,13.3,11.2%,1.3,10.2%,1.145,1.3,1.34,1.3,111.544km,-2.040km,189.2,11.7,1.3,11.0,3.4,409.9,11.7,12.3,1.2,4.9,22.3,10.3,18.4,19.7,1.2,1.3,1.0,0.0,33.5,11.0
home,2021-7-3-19:00,柏,1,12.85,9.76,1.92,1.17,6.93,2.63,98.89,13.04,0.40,124.4,12.5,10.1%,1.0,8.3%,127.0,10.9,8.6%,1.4,12.7%,1.391,1.0,1.144,1.4,113.378km,-2.598km,177.5,-8.0,1.0,12.5,3.6,412.0,15.8,11.3,2.1,5.2,25.7,10.1,21.0,22.6,1.7,1.5,0.9,0.0,34.3,9.9
away,2021-7-3-19:00,横浜FM,2,21.59,17.95,2.46,1.18,9.57,4.6,103.68,11.16,0.38,128.0,16.4,12.8%,1.9,11.4%,123.5,10.6,8.6%,0.9,8.6%,1.919,1.9,1.2409999999999999,0.9,121.445km,1.338km,214.0,22.2,1.9,16.4,5.7,664.4,21.4,11.2,3.0,6.2,24.7,10.1,18.2,16.7,1.6,1.9,1.3,0.0,58.5,17.4
home,2021-3-21-16:00,柏,1,12.85,9.76,1.92,1.17,6.93,2.63,98.89,13.04,0.40,124.4,12.5,10.1%,1.0,8.3%,127.0,10.9,8.6%,1.4,12.7%,1.391,1.0,1.144,1.4,113.378km,-2.598km,177.5,-8.0,1.0,12.5,3.6,412.0,15.8,11.3,2.1,5.2,25.7,10.1,21.0,22.6,1.7,1.5,0.9,0.0,34.3,9.9
away,2021-3-21-16:00,清水,2,11.47,9.08,1.53,0.86,5.89,2.59,79.62,14.75,0.49,106.3,11.3,10.6%,1.0,8.5%,110.7,12.3,11.2%,1.4,11.3%,1.137,1.0,1.205,1.4,118.300km,0.989km,160.0,-1.0,1.0,11.3,3.4,408.7,13.1,9.8,1.0,3.8,21.6,9.3,14.6,27.1,2.0,1.1,0.6,0.0,28.8,8.8
home,2021-3-10-18:00,柏,0,12.85,9.76,1.92,1.17,6.93,2.63,98.89,13.04,0.40,124.4,12.5,10.1%,1.0,8.3%,127.0,10.9,8.6%,1.4,12.7%,1.391,1.0,1.144,1.4,113.378km,-2.598km,177.5,-8.0,1.0,12.5,3.6,412.0,15.8,11.3,2.1,5.2,25.7,10.1,21.0,22.6,1.7,1.5,0.9,0.0,34.3,9.9
away,2021-3-10-18:00,名古屋,1,13.66,11.29,1.24,1.13,5.44,2.63,97.64,12.51,0.24,122.8,9.9,8.1%,1.0,9.6%,119.2,9.0,7.6%,0.7,7.5%,0.915,1.0,0.755,0.7,116.689km,0.718km,176.6,4.4,1.0,9.9,3.4,498.6,12.0,13.9,1.3,4.1,25.7,13.0,17.8,21.4,2.2,1.1,0.9,0.0,35.8,9.6
home,2021-4-11-17:00,柏,1,12.85,9.76,1.92,1.17,6.93,2.63,98.89,13.04,0.40,124.4,12.5,10.1%,1.0,8.3%,127.0,10.9,8.6%,1.4,12.7%,1.391,1.0,1.144,1.4,113.378km,-2.598km,177.5,-8.0,1.0,12.5,3.6,412.0,15.8,11.3,2.1,5.2,25.7,10.1,21.0,22.6,1.7,1.5,0.9,0.0,34.3,9.9
away,2021-4-11-17:00,Ｇ大阪,0,14.48,11.95,1.35,1.19,5.27,1.68,87.6,14.24,0.68,114.2,10.5,9.2%,0.7,7.1%,114.4,14.8,13.0%,1.0,6.7%,1.1179999999999999,0.7,1.5319999999999998,1.0,115.112km,-0.513km,160.2,-8.8,0.7,10.5,3.2,502.8,13.0,10.2,2.0,4.2,20.3,9.6,17.1,21.8,1.8,1.6,0.9,0.0,37.5,9.8
home,2021-4-24-16:00,柏,5,12.85,9.76,1.92,1.17,6.93,2.63,98.89,13.04,0.40,124.4,12.5,10.1%,1.0,8.3%,127.0,10.9,8.6%,1.4,12.7%,1.391,1.0,1.144,1.4,113.378km,-2.598km,177.5,-8.0,1.0,12.5,3.6,412.0,15.8,11.3,2.1,5.2,25.7,10.1,21.0,22.6,1.7,1.5,0.9,0.0,34.3,9.9
away,2021-4-24-16:00,徳島,1,13.5,11.6,0.85,1.05,4.88,2.08,90.96,12.73,0.27,113.7,10.0,8.8%,0.8,7.8%,114.1,11.0,9.6%,1.1,10.3%,0.948,0.8,1.1840000000000002,1.1,116.381km,-0.315km,162.8,-12.4,0.8,10.0,2.6,530.3,9.9,11.0,1.1,4.0,21.5,10.1,17.6,18.4,1.7,1.3,0.9,0.0,36.8,8.0
home,2021-4-7-19:00,FC東京,2,13.58,11.04,1.44,1.10,6.11,3.80,90.11,14.05,0.34,119.3,11.0,9.3%,1.3,12.2%,118.6,13.3,11.2%,1.3,10.2%,1.145,1.3,1.340,1.3,111.544km,-2.040km,189.2,11.7,1.3,11.0,3.4,409.9,11.7,12.3,1.2,4.9,22.3,10.3,18.4,19.7,1.2,1.3,1.0,0.0,33.5,11.0
away,2021-4-7-19:00,札幌,1,17.92,14.05,1.81,2.06,7.6,3.51,106.72,11.88,0.4,119.1,14.6,12.3%,1.3,8.7%,120.4,10.8,9.0%,1.3,12.2%,1.5319999999999998,1.3,1.383,1.3,113.441km,-1.966km,170.5,-12.0,1.3,14.6,4.2,534.1,15.5,9.3,0.6,6.0,21.3,15.4,19.4,16.6,1.5,2.0,1.0,0.1,43.0,15.0
home,2021-3-21-13:00,FC東京,2,13.58,11.04,1.44,1.10,6.11,3.80,90.11,14.05,0.34,119.3,11.0,9.3%,1.3,12.2%,118.6,13.3,11.2%,1.3,10.2%,1.145,1.3,1.340,1.3,111.544km,-2.040km,189.2,11.7,1.3,11.0,3.4,409.9,11.7,12.3,1.2,4.9,22.3,10.3,18.4,19.7,1.2,1.3,1.0,0.0,33.5,11.0
away,2021-3-21-13:00,仙台,1,11.52,8.91,1.56,1.05,5.99,2.21,90.56,16.26,0.62,118.0,10.8,9.1%,0.8,7.3%,119.0,14.1,11.9%,1.5,10.8%,1.008,0.8,1.521,1.5,116.140km,0.696km,168.6,-7.5,0.8,10.8,3.6,402.8,13.1,9.1,1.4,4.0,22.9,11.0,18.0,25.6,2.0,1.0,1.2,0.0,31.5,9.3
home,2021-4-11-14:00,FC東京,2,13.58,11.04,1.44,1.10,6.11,3.80,90.11,14.05,0.34,119.3,11.0,9.3%,1.3,12.2%,118.6,13.3,11.2%,1.3,10.2%,1.145,1.3,1.340,1.3,111.544km,-2.040km,189.2,11.7,1.3,11.0,3.4,409.9,11.7,12.3,1.2,4.9,22.3,10.3,18.4,19.7,1.2,1.3,1.0,0.0,33.5,11.0
away,2021-4-11-14:00,川崎Ｆ,4,21.76,18.35,1.91,1.5,9.01,6.83,115.43,11.89,0.26,121.2,15.3,12.7%,2.3,15.0%,120.4,8.1,6.8%,0.7,8.0%,1.713,2.3,0.747,0.7,114.232km,-2.619km,182.3,6.9,2.3,15.3,5.9,616.5,13.6,9.4,1.1,5.8,21.5,12.4,21.0,18.3,2.3,2.0,0.4,0.0,56.1,18.0
home,2021-5-1-14:00,FC東京,0,13.58,11.04,1.44,1.10,6.11,3.80,90.11,14.05,0.34,119.3,11.0,9.3%,1.3,12.2%,118.6,13.3,11.2%,1.3,10.2%,1.145,1.3,1.340,1.3,111.544km,-2.040km,189.2,11.7,1.3,11.0,3.4,409.9,11.7,12.3,1.2,4.9,22.3,10.3,18.4,19.7,1.2,1.3,1.0,0.0,33.5,11.0
away,2021-5-1-14:00,横浜FM,3,21.59,17.95,2.46,1.18,9.57,4.6,103.68,11.16,0.38,128.0,16.4,12.8%,1.9,11.4%,123.5,10.6,8.6%,0.9,8.6%,1.919,1.9,1.2409999999999999,0.9,121.445km,1.338km,214.0,22.2,1.9,16.4,5.7,664.4,21.4,11.2,3.0,6.2,24.7,10.1,18.2,16.7,1.6,1.9,1.3,0.0,58.5,17.4
home,2021-5-22-19:00,FC東京,1,13.58,11.04,1.44,1.10,6.11,3.80,90.11,14.05,0.34,119.3,11.0,9.3%,1.3,12.2%,118.6,13.3,11.2%,1.3,10.2%,1.145,1.3,1.340,1.3,111.544km,-2.040km,189.2,11.7,1.3,11.0,3.4,409.9,11.7,12.3,1.2,4.9,22.3,10.3,18.4,19.7,1.2,1.3,1.0,0.0,33.5,11.0
away,2021-5-22-19:00,Ｇ大阪,0,14.48,11.95,1.35,1.19,5.27,1.68,87.6,14.24,0.68,114.2,10.5,9.2%,0.7,7.1%,114.4,14.8,13.0%,1.0,6.7%,1.1179999999999999,0.7,1.5319999999999998,1.0,115.112km,-0.513km,160.2,-8.8,0.7,10.5,3.2,502.8,13.0,10.2,2.0,4.2,20.3,9.6,17.1,21.8,1.8,1.6,0.9,0.0,37.5,9.8
home,2021-3-10-18:00,FC東京,2,13.58,11.04,1.44,1.10,6.11,3.80,90.11,14.05,0.34,119.3,11.0,9.3%,1.3,12.2%,118.6,13.3,11.2%,1.3,10.2%,1.145,1.3,1.340,1.3,111.544km,-2.040km,189.2,11.7,1.3,11.0,3.4,409.9,11.7,12.3,1.2,4.9,22.3,10.3,18.4,19.7,1.2,1.3,1.0,0.0,33.5,11.0
away,2021-3-10-18:00,神戸,3,14.45,12.14,1.47,0.85,5.79,3.84,99.24,14.15,0.44,118.7,10.9,9.2%,1.5,13.9%,118.3,11.6,9.8%,1.0,8.2%,1.324,1.5,1.1740000000000002,1.0,117.529km,0.886km,183.7,19.7,1.5,10.9,3.6,565.0,11.1,10.3,1.4,3.6,23.2,9.7,19.4,23.4,2.7,1.4,0.6,0.0,32.9,9.2
home,2021-5-30-14:00,FC東京,0,13.58,11.04,1.44,1.10,6.11,3.80,90.11,14.05,0.34,119.3,11.0,9.3%,1.3,12.2%,118.6,13.3,11.2%,1.3,10.2%,1.145,1.3,1.340,1.3,111.544km,-2.040km,189.2,11.7,1.3,11.0,3.4,409.9,11.7,12.3,1.2,4.9,22.3,10.3,18.4,19.7,1.2,1.3,1.0,0.0,33.5,11.0
away,2021-5-30-14:00,広島,0,16.63,13.16,1.7,1.77,7.13,3.25,98.65,13.09,0.22,121.0,13.5,11.2%,1.1,8.0%,119.4,9.5,7.9%,1.0,10.1%,1.389,1.1,1.016,1.0,116.732km,-1.146km,178.5,1.3,1.1,13.5,4.3,499.2,15.0,10.4,1.5,5.7,23.8,13.7,18.5,18.3,1.8,2.1,0.6,0.0,45.7,13.2
home,2021-6-27-19:00,FC東京,3,13.58,11.04,1.44,1.10,6.11,3.80,90.11,14.05,0.34,119.3,11.0,9.3%,1.3,12.2%,118.6,13.3,11.2%,1.3,10.2%,1.145,1.3,1.340,1.3,111.544km,-2.040km,189.2,11.7,1.3,11.0,3.4,409.9,11.7,12.3,1.2,4.9,22.3,10.3,18.4,19.7,1.2,1.3,1.0,0.0,33.5,11.0
away,2021-6-27-19:00,大分,0,12.18,10.48,1.23,0.46,4.09,1.57,88.49,15.57,0.55,110.1,7.3,6.6%,0.6,8.3%,111.5,12.6,11.3%,1.4,11.4%,0.843,0.6,1.4040000000000001,1.4,122.001km,2.745km,168.1,-4.0,0.6,7.3,2.3,527.3,13.0,7.4,1.2,3.1,21.3,5.5,18.1,24.4,1.7,1.2,0.6,0.0,28.9,6.7
home,2021-5-16-15:00,川崎Ｆ,2,21.76,18.35,1.91,1.50,9.01,6.83,115.43,11.89,0.26,121.2,15.3,12.7%,2.3,15.0%,120.4,8.1,6.8%,0.7,8.0%,1.713,2.3,0.747,0.7,114.232km,-2.619km,182.3,6.9,2.3,15.3,5.9,616.5,13.6,9.4,1.1,5.8,21.5,12.4,21.0,18.3,2.3,2.0,0.4,0.0,56.1,18.0
away,2021-5-16-15:00,札幌,0,17.92,14.05,1.81,2.06,7.6,3.51,106.72,11.88,0.4,119.1,14.6,12.3%,1.3,8.7%,120.4,10.8,9.0%,1.3,12.2%,1.5319999999999998,1.3,1.383,1.3,113.441km,-1.966km,170.5,-12.0,1.3,14.6,4.2,534.1,15.5,9.3,0.6,6.0,21.3,15.4,19.4,16.6,1.5,2.0,1.0,0.1,43.0,15.0
home,2021-5-12-19:00,川崎Ｆ,2,21.76,18.35,1.91,1.50,9.01,6.83,115.43,11.89,0.26,121.2,15.3,12.7%,2.3,15.0%,120.4,8.1,6.8%,0.7,8.0%,1.713,2.3,0.747,0.7,114.232km,-2.619km,182.3,6.9,2.3,15.3,5.9,616.5,13.6,9.4,1.1,5.8,21.5,12.4,21.0,18.3,2.3,2.0,0.4,0.0,56.1,18.0
away,2021-5-12-19:00,仙台,2,11.52,8.91,1.56,1.05,5.99,2.21,90.56,16.26,0.62,118.0,10.8,9.1%,0.8,7.3%,119.0,14.1,11.9%,1.5,10.8%,1.008,0.8,1.521,1.5,116.140km,0.696km,168.6,-7.5,0.8,10.8,3.6,402.8,13.1,9.1,1.4,4.0,22.9,11.0,18.0,25.6,2.0,1.0,1.2,0.0,31.5,9.3
home,2021-5-30-19:00,川崎Ｆ,2,21.76,18.35,1.91,1.50,9.01,6.83,115.43,11.89,0.26,121.2,15.3,12.7%,2.3,15.0%,120.4,8.1,6.8%,0.7,8.0%,1.713,2.3,0.747,0.7,114.232km,-2.619km,182.3,6.9,2.3,15.3,5.9,616.5,13.6,9.4,1.1,5.8,21.5,12.4,21.0,18.3,2.3,2.0,0.4,0.0,56.1,18.0
away,2021-5-30-19:00,鹿島,1,15.79,12.9,1.77,1.13,7.78,4.53,100.66,12.09,0.35,128.1,14.5,11.3%,1.6,11.1%,126.9,8.8,6.9%,1.0,11.4%,1.501,1.6,0.9490000000000001,1.0,117.214km,1.814km,194.3,9.6,1.6,14.5,5.0,468.7,15.7,9.9,2.3,6.1,28.4,9.7,18.1,17.8,1.4,1.6,1.4,0.1,43.2,13.2
home,2021-3-13-17:33,川崎Ｆ,1,21.76,18.35,1.91,1.50,9.01,6.83,115.43,11.89,0.26,121.2,15.3,12.7%,2.3,15.0%,120.4,8.1,6.8%,0.7,8.0%,1.713,2.3,0.747,0.7,114.232km,-2.619km,182.3,6.9,2.3,15.3,5.9,616.5,13.6,9.4,1.1,5.8,21.5,12.4,21.0,18.3,2.3,2.0,0.4,0.0,56.1,18.0
away,2021-3-13-17:33,柏,0,12.85,9.76,1.92,1.17,6.93,2.63,98.89,13.04,0.4,124.4,12.5,10.1%,1.0,8.3%,127.0,10.9,8.6%,1.4,12.7%,1.391,1.0,1.1440000000000001,1.4,113.378km,-2.598km,177.5,-8.0,1.0,12.5,3.6,412.0,15.8,11.3,2.1,5.2,25.7,10.1,21.0,22.6,1.7,1.5,0.9,0.0,34.3,9.9
home,2021-2-26-18:00,川崎Ｆ,2,21.76,18.35,1.91,1.50,9.01,6.83,115.43,11.89,0.26,121.2,15.3,12.7%,2.3,15.0%,120.4,8.1,6.8%,0.7,8.0%,1.713,2.3,0.747,0.7,114.232km,-2.619km,182.3,6.9,2.3,15.3,5.9,616.5,13.6,9.4,1.1,5.8,21.5,12.4,21.0,18.3,2.3,2.0,0.4,0.0,56.1,18.0
away,2021-2-26-18:00,横浜FM,0,21.59,17.95,2.46,1.18,9.57,4.6,103.68,11.16,0.38,128.0,16.4,12.8%,1.9,11.4%,123.5,10.6,8.6%,0.9,8.6%,1.919,1.9,1.2409999999999999,0.9,121.445km,1.338km,214.0,22.2,1.9,16.4,5.7,664.4,21.4,11.2,3.0,6.2,24.7,10.1,18.2,16.7,1.6,1.9,1.3,0.0,58.5,17.4
home,2021-5-4-15:00,川崎Ｆ,3,21.76,18.35,1.91,1.50,9.01,6.83,115.43,11.89,0.26,121.2,15.3,12.7%,2.3,15.0%,120.4,8.1,6.8%,0.7,8.0%,1.713,2.3,0.747,0.7,114.232km,-2.619km,182.3,6.9,2.3,15.3,5.9,616.5,13.6,9.4,1.1,5.8,21.5,12.4,21.0,18.3,2.3,2.0,0.4,0.0,56.1,18.0
away,2021-5-4-15:00,名古屋,2,13.66,11.29,1.24,1.13,5.44,2.63,97.64,12.51,0.24,122.8,9.9,8.1%,1.0,9.6%,119.2,9.0,7.6%,0.7,7.5%,0.915,1.0,0.755,0.7,116.689km,0.718km,176.6,4.4,1.0,9.9,3.4,498.6,12.0,13.9,1.3,4.1,25.7,13.0,17.8,21.4,2.2,1.1,0.9,0.0,35.8,9.6
home,2021-3-3-18:00,川崎Ｆ,3,21.76,18.35,1.91,1.50,9.01,6.83,115.43,11.89,0.26,121.2,15.3,12.7%,2.3,15.0%,120.4,8.1,6.8%,0.7,8.0%,1.713,2.3,0.747,0.7,114.232km,-2.619km,182.3,6.9,2.3,15.3,5.9,616.5,13.6,9.4,1.1,5.8,21.5,12.4,21.0,18.3,2.3,2.0,0.4,0.0,56.1,18.0
away,2021-3-3-18:00,Ｃ大阪,2,14.17,10.99,2.07,1.12,7.75,3.72,88.47,13.8,0.37,117.8,13.5,11.5%,1.3,9.8%,114.7,12.4,10.8%,1.2,9.5%,1.4809999999999999,1.3,1.334,1.2,117.182km,-0.257km,169.5,-10.3,1.3,13.5,4.5,453.8,16.5,13.0,1.6,4.9,21.7,9.4,16.9,18.7,1.3,1.6,0.7,0.0,39.1,10.5
home,2021-4-18-14:00,川崎Ｆ,1,21.76,18.35,1.91,1.50,9.01,6.83,115.43,11.89,0.26,121.2,15.3,12.7%,2.3,15.0%,120.4,8.1,6.8%,0.7,8.0%,1.713,2.3,0.747,0.7,114.232km,-2.619km,182.3,6.9,2.3,15.3,5.9,616.5,13.6,9.4,1.1,5.8,21.5,12.4,21.0,18.3,2.3,2.0,0.4,0.0,56.1,18.0
away,2021-4-18-14:00,広島,1,16.63,13.16,1.7,1.77,7.13,3.25,98.65,13.09,0.22,121.0,13.5,11.2%,1.1,8.0%,119.4,9.5,7.9%,1.0,10.1%,1.389,1.1,1.016,1.0,116.732km,-1.146km,178.5,1.3,1.1,13.5,4.3,499.2,15.0,10.4,1.5,5.7,23.8,13.7,18.5,18.3,1.8,2.1,0.6,0.0,45.7,13.2
home,2021-3-10-19:00,川崎Ｆ,2,21.76,18.35,1.91,1.50,9.01,6.83,115.43,11.89,0.26,121.2,15.3,12.7%,2.3,15.0%,120.4,8.1,6.8%,0.7,8.0%,1.713,2.3,0.747,0.7,114.232km,-2.619km,182.3,6.9,2.3,15.3,5.9,616.5,13.6,9.4,1.1,5.8,21.5,12.4,21.0,18.3,2.3,2.0,0.4,0.0,56.1,18.0
away,2021-3-10-19:00,徳島,0,13.5,11.6,0.85,1.05,4.88,2.08,90.96,12.73,0.27,113.7,10.0,8.8%,0.8,7.8%,114.1,11.0,9.6%,1.1,10.3%,0.948,0.8,1.1840000000000002,1.1,116.381km,-0.315km,162.8,-12.4,0.8,10.0,2.6,530.3,9.9,11.0,1.1,4.0,21.5,10.1,17.6,18.4,1.7,1.3,0.9,0.0,36.8,8.0
home,2021-4-14-19:00,川崎Ｆ,3,21.76,18.35,1.91,1.50,9.01,6.83,115.43,11.89,0.26,121.2,15.3,12.7%,2.3,15.0%,120.4,8.1,6.8%,0.7,8.0%,1.713,2.3,0.747,0.7,114.232km,-2.619km,182.3,6.9,2.3,15.3,5.9,616.5,13.6,9.4,1.1,5.8,21.5,12.4,21.0,18.3,2.3,2.0,0.4,0.0,56.1,18.0
away,2021-4-14-19:00,福岡,1,10.94,8.53,1.52,0.88,4.95,2.51,102.02,16.09,0.59,119.7,10.3,8.6%,1.0,9.3%,123.0,11.3,9.2%,1.2,10.3%,1.085,1.0,1.26,1.2,111.502km,-1.561km,176.1,9.9,1.0,10.3,2.7,350.0,13.8,10.5,1.8,4.5,22.8,7.9,21.6,28.0,1.4,1.0,1.3,0.1,28.1,8.8
home,2021-4-7-19:00,川崎Ｆ,1,21.76,18.35,1.91,1.50,9.01,6.83,115.43,11.89,0.26,121.2,15.3,12.7%,2.3,15.0%,120.4,8.1,6.8%,0.7,8.0%,1.713,2.3,0.747,0.7,114.232km,-2.619km,182.3,6.9,2.3,15.3,5.9,616.5,13.6,9.4,1.1,5.8,21.5,12.4,21.0,18.3,2.3,2.0,0.4,0.0,56.1,18.0
away,2021-4-7-19:00,鳥栖,0,14.7,12.18,1.33,1.18,6.16,4.09,91.13,14.79,0.47,113.1,11.3,10.0%,1.3,11.9%,115.6,11.1,9.6%,0.6,5.5%,1.149,1.3,1.0659999999999998,0.6,125.217km,4.867km,175.3,-10.5,1.3,11.3,3.6,532.7,11.0,9.0,1.6,4.0,21.5,9.2,17.6,22.0,1.8,2.3,1.0,0.1,37.7,9.9
home,2021-3-14-13:00,横浜FM,3,21.59,17.95,2.46,1.18,9.57,4.60,103.68,11.16,0.38,128.0,16.4,12.8%,1.9,11.4%,123.5,10.6,8.6%,0.9,8.6%,1.919,1.9,1.241,0.9,121.445km,1.338km,214.0,22.2,1.9,16.4,5.7,664.4,21.4,11.2,3.0,6.2,24.7,10.1,18.2,16.7,1.6,1.9,1.3,0.0,58.5,17.4
away,2021-3-14-13:00,浦和,0,15.64,13.14,1.38,1.12,5.7,2.92,91.95,13.38,0.38,110.6,9.9,9.0%,1.2,11.8%,107.6,13.0,12.0%,1.1,8.4%,1.2309999999999999,1.2,1.198,1.1,114.891km,-1.786km,164.5,-8.7,1.2,9.9,3.7,581.6,13.2,10.2,0.7,4.7,19.2,9.4,18.8,19.0,1.5,1.2,0.8,0.0,40.2,10.8
home,2021-4-24-14:00,横浜FM,5,21.59,17.95,2.46,1.18,9.57,4.60,103.68,11.16,0.38,128.0,16.4,12.8%,1.9,11.4%,123.5,10.6,8.6%,0.9,8.6%,1.919,1.9,1.241,0.9,121.445km,1.338km,214.0,22.2,1.9,16.4,5.7,664.4,21.4,11.2,3.0,6.2,24.7,10.1,18.2,16.7,1.6,1.9,1.3,0.0,58.5,17.4
away,2021-4-24-14:00,横浜FC,0,11.71,9.64,1.22,0.85,5.02,2.04,86.87,13.8,0.57,115.3,9.7,8.4%,0.7,6.7%,114.7,15.2,13.2%,2.2,14.3%,0.948,0.7,1.983,2.2,116.138km,-1.025km,166.1,-12.6,0.7,9.7,3.0,431.4,13.5,10.2,2.3,3.7,24.0,8.3,18.3,21.8,1.3,1.0,1.0,0.0,32.0,7.5
